City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Rio Gallegos,AR,59,-51.62,-69.22,72,75,6.93
Kaitangata,NZ,46,-46.28,169.85,81,92,3
Comodoro Rivadavia,AR,71.6,-45.87,-67.48,40,0,11.41
Coihaique,CL,53.6,-45.58,-72.07,87,90,26.4
Te Anau,NZ,41.83,-45.41,167.72,97,88,3.49
Margate,AU,42.53,-43.03,147.26,87,20,11.41
Ancud,CL,53.6,-41.87,-73.83,93,90,19.46
Launceston,AU,51.12,-41.43,147.14,81,90,5.82
San Carlos de Bariloche,AR,69.8,-41.13,-71.31,18,75,24.16
Burnie,AU,49.28,-41.05,145.91,85,0,4.72
Takaka,NZ,57.33,-40.86,172.81,68,0,1.99
General Roca,AR,86,-39.03,-67.58,28,0,3.36
Gisborne,NZ,66.99,-38.66,178.02,76,92,1.99
Tres Arroyos,AR,83.23,-38.38,-60.28,35,20,11.32
Lakes Entrance,AU,41.63,-37.88,147.99,95,0,3.71
Mount Gambier,AU,42.8,-37.83,140.78,93,44,6.93
Mount Gambier,AU,42.8,-37.83,140.78,93,44,8.05
Horsham,AU,43.27,-36.71,142.2,78,8,3.31
Palmer,AU,54.79,-34.85,139.16,87,0,4.7
Progreso,UY,72.54,-34.68,-56.22,78,75,8.05
Flinders,AU,58.55,-34.58,150.85,93,0,8.05
Wollongong,AU,57.02,-34.42,150.89,93,0,8.05
Plettenberg Bay,ZA,63.16,-34.05,23.37,100,76,7.11
Cape Town,ZA,59.14,-33.93,18.42,62,0,14.99
San Antonio,CL,70.86,-33.58,-71.61,82,0,11.41
Collie,AU,60.89,-33.36,116.15,65,92,9.35
Port Augusta,AU,52,-32.49,137.76,87,0,5.82
Broken Hill,AU,55.4,-31.97,141.45,66,0,4.99
Tapes,BR,77.92,-30.67,-51.4,65,8,8.34
Coffs Harbour,AU,62.35,-30.3,153.13,93,90,10.29
Alegrete,BR,86.83,-29.79,-55.79,50,64,0.36
Oranjemund,ZA,59.83,-28.55,16.43,91,0,31.27
Imbituba,BR,80.6,-28.24,-48.67,65,20,6.93
Hervey Bay,AU,66.36,-25.3,152.85,82,40,8.05
